[2023-09-21T01:16:40.989+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: student_semantic.create_dataframe_student manual__2023-09-21T01:16:36.355753+00:00 [queued]>
[2023-09-21T01:16:40.997+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: student_semantic.create_dataframe_student manual__2023-09-21T01:16:36.355753+00:00 [queued]>
[2023-09-21T01:16:40.997+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2023-09-21T01:16:41.022+0000] {taskinstance.py:1380} INFO - Executing <Task(PythonOperator): create_dataframe_student> on 2023-09-21 01:16:36.355753+00:00
[2023-09-21T01:16:41.028+0000] {standard_task_runner.py:57} INFO - Started process 1534 to run task
[2023-09-21T01:16:41.031+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'student_semantic', 'create_dataframe_student', 'manual__2023-09-21T01:16:36.355753+00:00', '--job-id', '428', '--raw', '--subdir', 'DAGS_FOLDER/student_semantic.py', '--cfg-path', '/tmp/tmp8zg79e2x']
[2023-09-21T01:16:41.033+0000] {standard_task_runner.py:85} INFO - Job 428: Subtask create_dataframe_student
[2023-09-21T01:16:41.094+0000] {task_command.py:415} INFO - Running <TaskInstance: student_semantic.create_dataframe_student manual__2023-09-21T01:16:36.355753+00:00 [running]> on host fd67d4db30a8
[2023-09-21T01:16:41.154+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='student_semantic' AIRFLOW_CTX_TASK_ID='create_dataframe_student' AIRFLOW_CTX_EXECUTION_DATE='2023-09-21T01:16:36.355753+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2023-09-21T01:16:36.355753+00:00'
[2023-09-21T01:16:41.165+0000] {python.py:194} INFO - Done. Returned value was:    student_id              name  ...  grades_history  grades_english
0        S001     Alice Johnson  ...              78              92
1        S002         Bob Smith  ...              82              90
2        S003     Charlie Brown  ...              80              94
3        S004         David Lee  ...              85              88
4        S005      Eva Martinez  ...              76              92
5        S006      Frank Wilson  ...              89              76
6        S007       Grace Adams  ...              90              85
7        S008      Hannah White  ...              88              81
8        S009          Ian Hall  ...              84              90
9        S010    Jessica Turner  ...              76              92
10       S011      Kevin Parker  ...              89              76
11       S012      Linda Brooks  ...              90              85
12       S013     Michael Green  ...              88              81
13       S014     Natalie Adams  ...              84              90
14       S015     Olivia Foster  ...              76              92
15       S016      Peter Turner  ...              89              76
16       S017     Quincy Parker  ...              90              85
17       S018       Rachel Hall  ...              88              81
18       S019     Samuel Brooks  ...              84              90
19       S020      Taylor Green  ...              76              92
20       S021         Uma Adams  ...              89              76
21       S022     Victor Turner  ...              90              85
22       S023        Wendy Hall  ...              88              81
23       S024     Xander Brooks  ...              84              90
24       S025        Yara Green  ...              76              92
25       S026     Zachary Adams  ...              89              76
26       S027        Ava Turner  ...              90              85
27       S028     Benjamin Hall  ...              88              81
28       S029  Catherine Brooks  ...              84              90
29       S030      Daniel Green  ...              76              92
30       S031       Emily Adams  ...              89              76
31       S032       Finn Turner  ...              90              85
32       S033        Grace Hall  ...              88              81
33       S034      Henry Brooks  ...              84              90
34       S035    Isabella Green  ...              76              92
35       S036       Jacob Adams  ...              89              76
36       S037  Katherine Turner  ...              90              85
37       S038         Liam Hall  ...              88              81
38       S039        Mia Brooks  ...              84              90
39       S040        Noah Green  ...              76              92
40       S041      Olivia Adams  ...              89              76
41       S042      Peter Turner  ...              90              85
42       S043       Quincy Hall  ...              88              81
43       S044     Rachel Brooks  ...              84              90
44       S045      Samuel Green  ...              76              92
45       S046      Taylor Adams  ...              89              76
46       S047        Uma Turner  ...              90              85
47       S048       Victor Hall  ...              88              81
48       S049      Wendy Brooks  ...              84              90
49       S050      Xander Green  ...              76              92

[50 rows x 6 columns]
[2023-09-21T01:16:41.214+0000] {taskinstance.py:1398} INFO - Marking task as SUCCESS. dag_id=student_semantic, task_id=create_dataframe_student, execution_date=20230921T011636, start_date=20230921T011640, end_date=20230921T011641
[2023-09-21T01:16:41.244+0000] {local_task_job_runner.py:228} INFO - Task exited with return code 0
[2023-09-21T01:16:41.263+0000] {taskinstance.py:2776} INFO - 0 downstream tasks scheduled from follow-on schedule check
